Date,Release_MilfordLake_cfs,Release_TuttleCreekLake_cfs,Release_PerryLake_cfs,Release_ClintonLake_cfs
2018-05-27,900,500,25,21
2018-05-28,900,500,25,21
2018-05-29,900,500,25,21
2018-05-30,900,500,25,21
2018-05-31,900,500,25,21
2018-06-01,900,500,25,21
2018-06-02,332,500,25,21
2018-06-03,150,500,25,21
2018-06-04,150,500,25,21
2018-06-05,150,500,25,21
2018-06-06,150,500,25,21
2018-06-07,150,500,25,21
2018-06-08,150,500,25,21
2018-06-09,150,500,25,21
2018-06-10,150,500,25,21
2018-06-11,150,500,25,21
2018-06-12,150,500,25,21
2018-06-13,150,500,25,21
2018-06-14,150,500,25,21
2018-06-15,150,643,25,21
2018-06-16,56,1000,25,21
2018-06-17,25,1000,25,21
2018-06-18,25,1000,25,21
2018-06-19,25,1000,25,21
2018-06-20,25,2265,25,21
2018-06-21,25,1021,25,21
2018-06-22,25,200,25,21
2018-06-23,25,200,25,21
2018-06-24,25,200,25,21
2018-06-25,25,200,25,21
2018-06-26,25,200,25,21
2018-06-27,25,200,25,21
2018-06-28,25,200,25,21
2018-06-29,25,200,25,21
2018-06-30,25,200,25,21
2018-07-01,25,200,25,21
2018-07-02,25,200,25,21
2018-07-03,25,200,25,21
2018-07-04,25,200,25,21
2018-07-05,25,200,25,21
2018-07-06,25,200,25,21
2018-07-07,25,200,25,21
2018-07-08,25,200,25,21
2018-07-09,25,200,25,21
2018-07-10,,,,
